07/16/2020;02:50:00 PM;2ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/566b1fa6cdaf4188032585a00081c8a7?OpenDocument
07/16/2020;02:45:00 PM;1ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/52a4166b9869e017032585a00081abd5?OpenDocument
07/15/2020;03:00:00 PM; Sessão Ordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/2f98fa281b2d64cb032585a0007fa111?OpenDocument
07/15/2020;02:55:00 PM;3ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/083e6b178cb54daa032585a0007f8684?OpenDocument
07/15/2020;02:50:00 PM;2ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/1a5a1b6bf71114e4032585a0007f6d42?OpenDocument
07/15/2020;02:45:00 PM;1ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/a9a972af53a09da4032585a0007f396e?OpenDocument
07/14/2020;03:00:00 PM; Sessão Ordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/cde799458c8cb7d2032585a0007d7199?OpenDocument
07/14/2020;02:55:00 PM;3ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/80406f5f58ed3c7f032585a0007d4189?OpenDocument
07/14/2020;02:50:00 PM;2ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/ef3ce18215a0b70c032585a0007d1133?OpenDocument
07/14/2020;02:45:00 PM;1ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/4d029b1ac43d8522032585a0007cbc98?OpenDocument
07/09/2020;06:40:00 PM;5ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/33e25314b0cde6060325859e007db00b?OpenDocument
07/09/2020;06:35:00 PM;4ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/4bfe1809d4e979a30325859e006add39?OpenDocument
07/09/2020;03:00:00 PM; Sessão Ordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/0585bf6dda7cb2590325859a001f91f1?OpenDocument
07/09/2020;02:55:00 PM;3ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/e77c4aee2c887a070325859a001f7d6e?OpenDocument
07/09/2020;02:50:00 PM;2ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/a3f6a2ccd41bdc220325859a001f6fc9?OpenDocument
07/09/2020;02:45:00 PM;1ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/bf4e40440b3628430325859a001f604a?OpenDocument
07/08/2020;03:00:00 PM; Sessão Ordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/87bd52af20afd5040325859a001c9b57?OpenDocument
07/08/2020;02:55:00 PM;3ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/22da4d549f22cb710325859a001c8a3b?OpenDocument
07/08/2020;02:50:00 PM;2ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/9827d2045cb351270325859a001c7d2f?OpenDocument
07/08/2020;02:45:00 PM;1ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/67367df6fe7955330325859a001c6cc1?OpenDocument
07/07/2020;03:00:00 PM; Sessão Ordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/37e21bb04968b94c0325859a001b236b?OpenDocument
07/07/2020;02:55:00 PM;3ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/1157a06faff5df700325859a001aff14?OpenDocument
07/07/2020;02:50:00 PM;2ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/99dfb16c4206743003258598006b57c2?OpenDocument
07/07/2020;02:45:00 PM;1ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/f58477f9ca0af75d032585980073333b?OpenDocument
07/02/2020;03:00:00 PM; Sessão Ordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/3c85b391618756c203258593000725b1?OpenDocument
07/02/2020;02:55:00 PM;4ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/36345209f9297409032585930006d7dc?OpenDocument
07/02/2020;02:50:00 PM;3ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/d389d04efd9abf13032585930006b869?OpenDocument
07/02/2020;02:45:00 PM;2ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/e65e71849d039063032585930006750d?OpenDocument
07/02/2020;02:40:00 PM;1ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/ab719fd3f88480c80325859300064afb?OpenDocument
07/01/2020;03:00:00 PM; Sessão Ordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/68095c99d2d308ed032585930005c878?OpenDocument
07/01/2020;02:55:00 PM;4ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/1c25b5ff56c1b339032585930005a591?OpenDocument
07/01/2020;02:50:00 PM;3ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/4dec88dcfd3828fd0325859300057b39?OpenDocument
07/01/2020;02:45:00 PM;2ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/8433c2c77530e716032585930004674d?OpenDocument
